Sheet,Table,Column
Occult_Library,Table_Occult_Library,Entry_Number
Occult_Library,Table_Occult_Library,Category_01
Occult_Library,Table_Occult_Library,Category_01_Number
Occult_Library,Table_Occult_Library,Category_02
Occult_Library,Table_Occult_Library,Category_02_Number
Occult_Library,Table_Occult_Library,Title
Occult_Library,Table_Occult_Library,Author
Occult_Library,Table_Occult_Library,Edition/Translation
Occult_Library,Table_Occult_Library,Edition_Language
Occult_Library,Table_Occult_Library,Original_Language
Occult_Library,Table_Occult_Library,Type
Occult_Library,Table_Occult_Library,Description
Occult_Library,Table_Occult_Library,Notes
People,Table_People,Hash_ID
People,Table_People,Name
People,Table_People,Surname
People,Table_People,Real Name
People,Table_People,Type
People,Table_People,Gender
People,Table_People,Nationality
People,Table_People,Birth_Date_Day
People,Table_People,Birth_Date_Month
People,Table_People,Birth_Date_Year
People,Table_People,Birth_Date_Year_Gregorian
People,Table_People,Birth_Date_Year_IsRange
People,Table_People,Death_Date_Day
People,Table_People,Death_Date_Month
People,Table_People,Death_Date_Year
People,Table_People,Death_Date_Year_Gregorian
People,Table_People,Death_Date_Year_IsRange
People,Table_People,Complete Name (Name Surname)
People,Table_People,Complete Name (Surname Name)
People,Table_People,Duplicated_Entry
People,Table_People,Has_Image [Y/N]
Calendars_Gregorian,Table_Calendars_Gregorian,Class
Calendars_Gregorian,Table_Calendars_Gregorian,Description
Books,Table_Books,Hash_ID
Books,Table_Books,Duplicated_Entry
Books,Table_Books,Title
Books,Table_Books,Author
Books,Table_Books,Series
Books,Table_Books,Series_Number
Books,Table_Books,Published_Date
Books,Table_Books,Edition
Books,Table_Books,Publisher
Books,Table_Books,Published_Title
Books,Table_Books,Published_Language
Books,Table_Books,Page_Count
Books,Table_Books,Description_GenAI
Books,Table_Books,Recommended_By
Books,Table_Books,Priority
Books,Table_Books,Rating
Books,Table_Books,Read
Books,Table_Books,Started_Date
Books,Table_Books,Finished_Date
Books,Table_Books,Library_Physical_MEX
Books,Table_Books,Library_Physical_EUR
Books,Table_Books,Library_Digital_Main
Books,Table_Books,Library_Mobile_Kindle
Books,Table_Books,Library_Mobile_iPad
Books,Table_Books,Library_Mobile_iPhone
Books,Table_Books,Goodreads_Path
Books,Table_Books,Hardcover_ID
Books,Table_Books,Hardcover_Path
Books,Table_Books,Cover_RAW
Books,Table_Books,Cover_FTD
Books,Table_Books,Published_Date_Decade
Books,Table_Books,Published_Date_Century
Books,Table_Books,Book_Type
Books,Table_Books,Temporary Tags
Books,Table_Books,Tradition
Books,Table_Books,Notes
Books,Table_Books,Composite_Work_Author
Books,Table_Books,Composite_Author_Work
Books,Table_Books,Composite_Work_Author_Clean
Books,Table_Books,Goodreads_URL
Books,Table_Books,Hardcover_URL
Films,Table_Films,Hash_ID
Films,Table_Films,Duplicated_Entry
Films,Table_Films,Title
Films,Table_Films,Director
Films,Table_Films,Composite_Work_Author
Films,Table_Films,Composite_Author_Work
Films,Table_Films,Year
Films,Table_Films,Decade
Films,Table_Films,Century
Films,Table_Films,Country
URLs,Table_URLs,Concept
URLs,Table_URLs,URL
Months,Table_Months,Month_Number
Months,Table_Months,Month_Name_Short
Months,Table_Months,Month_Name_Long
Book_Editions,Table_Book_Editions,Hash_ID
Book_Editions,Table_Book_Editions,Hash_ID_Books
Book_Editions,Table_Book_Editions,Title
Book_Editions,Table_Book_Editions,Author
Book_Editions,Table_Book_Editions,Edition
Book_Editions,Table_Book_Editions,Publisher
Book_Editions,Table_Book_Editions,Edition_Title
Book_Editions,Table_Book_Editions,Published_Title
Book_Editions,Table_Book_Editions,Published_Language
Book_Editions,Table_Book_Editions,Published_Date
Book_Editions,Table_Book_Editions,ISBN13
Book_Series,Table_Book_Series,Title
Book_Series,Table_Book_Series,Original Title
Book_Series,Table_Book_Series,Author
Book_Series,Table_Book_Series,Composite_Work_Author
Book_Series,Table_Book_Series,Composite_Author_Work
Book_Series,Table_Book_Series,Duplicated_Entry
Art_Types,Table_Art_Types,Book_Type
Art_Types,Table_Art_Types,Description
Art_Types,Table_Art_Types,Applicable_Work_Type(s)
Art_Types,Table_Art_Types,Duplicated_Entry
Book_Categories,Table_Book_Categories,Category_1
Book_Categories,Table_Book_Categories,Category_2
Book_Categories,Table_Book_Categories,Category_3
Book_Categories,Table_Book_Categories,Notes_Scope_Example
Literary_Movements,Table_Literary_Movements,Level 1 (Era/Broad School)
Literary_Movements,Table_Literary_Movements,Level 2 (Movement)
Literary_Movements,Table_Literary_Movements,Level 3 (Sub-movement/Related)
Literary_Movements,Table_Literary_Movements,Notes / Scope Example
Literary_Movements,Table_Literary_Movements,Duplicated_Entry
Themes,Table_Themes,Category
Themes,Table_Themes,Subcategory
Themes,Table_Themes,Theme
Subjects,Table27,Name
Subjects,Table27,Description (Optional)
Keywords,Table28,Name
Publisher_Specialties,Table29,Name
Paintings,Table_Paintings,Hash_ID
Paintings,Table_Paintings,Title
Paintings,Table_Paintings,Author
Paintings,Table_Paintings,Composite_Work_Author
Paintings,Table_Paintings,Duplicated_Entry
Paintings,Table_Paintings,Art_Movement
Paintings,Table_Paintings,Orientation
Paintings,Table_Paintings,Century
Attributes,Table_Attributes,Name
Attributes,Table_Attributes,Description (Optional)
Attributes,Table_Attributes,Category (Optional)
Attributes,Table_Attributes,Duplicated_Entry
Work_Types,Table_Work_Types,Name
Work_Types,Table_Work_Types,Description
Contribution_Types,Table_Contribution_types,Name
Contribution_Types,Table_Contribution_types,Description
Contribution_Types,Table_Contribution_types,Examples of Use
Validation_Fields,Table_Score_0_5_Halves,Score
Validation_Fields,Table_Check,Check
Validation_Fields,Centuries_Table,Centuries
Validation_Fields,Table_Score_0_5_Fulls,Score
Art_Movements,Art_Movements_Table,Art_Movements
Art_Movements,Art_Movements_Table,Duplicate_Entry
Languages,Table_Languages,Hash_ID
Languages,Table_Languages,Language
Languages,Table_Languages,ISO_639-1
Languages,Table_Languages,ISO_639-1_Is_Duplicate
Languages,Table_Languages,ISO_639-2
Languages,Table_Languages,ISO_639-2_Is_Duplicate
Languages,Table_Languages,ISO_639-3
Languages,Table_Languages,ISO_639-3_Is_Duplicate
Publishing_Houses,Table_Publishing_Houses,Publishing_House
Publishing_Houses,Table_Publishing_Houses,Country
Publishing_Houses,Table_Publishing_Houses,Duplicated_Entry
Publishing_Houses,Table_Publishing_Houses,Specialties
Perfume_Houses,Table19,Name
Perfume_Houses,Table19,Country
Perfume_Houses,Table19,Duplicated_Entry
Countries_Continents,Table_Countries,Continent_Name
Countries_Continents,Table_Countries,Continent_Code
Countries_Continents,Table_Countries,Country_Name
Countries_Continents,Table_Countries,Two_Letter_Country_Code
Countries_Continents,Table_Countries,Three_Letter_Country_Code
Countries_Continents,Table_Countries,Country_Number
Hash_ID_Acronyms,Table18,Field
Hash_ID_Acronyms,Table18,Acronym
